Pair,Strategy,Total Return (%),Win Rate (%),Sharpe Ratio,Max Drawdown (%),Total Trades,Final Capital,Avg Win (%),Avg Loss (%),Score
USDCAD,Multi-Indicator,29.731908200262026,75.0,0.7538067034655198,1.2002107868026353,4,12973.190820026202,9.866849082894502,-1.220090765723955,41.69078815739948
GBPUSD,Multi-Indicator,29.346897671956228,100.0,1.2889698743265383,0.0,3,12934.689767195623,9.160912430408787,0.0,54.62845781204788
AUDJPY,Stochastic,29.046302788075156,85.71428571428571,1.1502994809745415,0.486411700366188,14,12904.630278807515,2.1871975898648075,-0.31064955457987464,48.738519299187956
USDCAD,SMA Crossover,28.954353843872976,75.0,0.7821535789116761,1.2002107868026353,4,12895.435384387298,9.591219385309675,-1.220090765723955,41.66323516930542
GBPUSD,Price Action,27.808325102209274,76.47058823529412,1.0704855209482271,0.22432854538798733,17,12780.832510220927,1.927259558407087,-0.13280015906370624,44.724496011876624
AUDJPY,Bollinger Bands,24.71017035364961,87.5,1.879896167135532,0.35220038775337337,8,12471.017035364961,3.240897993566286,-0.37216516771459807,54.86258973526449
GBPAUD,Price Action,23.901382052807293,70.58823529411765,0.7528264028238923,1.469609775510024,17,12390.13820528073,2.1059260004026013,-0.762114290125805,37.97136548249512
AUDJPY,Price Action,23.655362474355535,71.42857142857143,0.787706859333793,1.9700538686396412,14,12365.536247435553,2.4977029743631745,-0.9013674819396839,38.37377423792364
USDCAD,Stochastic,23.199791778226608,90.0,1.6786004421212668,1.0491203106965397,10,12319.97917782266,2.447446847731847,-1.0690153986654698,52.85609707036401
USDCAD,RSI Mean Reversion,22.71249156236323,100.0,2.198515613756345,0.0,6,12271.249156236323,3.461682894053206,0.0,61.07015276250874
USDCAD,ADX Trend,21.821190105286313,28.57142857142857,0.22819040901951682,4.53083771557396,14,12182.119010528631,8.235778113589827,-1.0299957976412817,18.675641160623478
EURGBP,RSI Mean Reversion,21.63987841250324,85.71428571428571,1.1658926977835016,1.814257919325082,7,12163.987841250324,3.6272431980395567,-1.8340764935331495,45.66631247325701
GBPAUD,Multi-Indicator,21.339124627971287,60.0,0.8674235295933983,3.0797022270655883,5,12133.912462797129,7.761788334385055,-1.5714024496687093,34.59394470170938
USDCAD,EMA Crossover,21.165803086607173,35.714285714285715,0.2396635373082123,6.729628175299274,14,12116.580308660717,6.855007496178844,-1.4064905478233742,20.231316686950855
GBPUSD,SMA Crossover,21.06336107716319,66.66666666666666,0.4867118302827686,2.0283821549026992,6,12106.336107716319,5.6810498133008895,-1.0376742333687172,32.886786302712416
GBPUSD,Stochastic,20.435996939550822,90.0,1.4106841591756774,0.24954466480779353,10,12043.599693955082,2.102478308544922,-0.2695197103413127,49.23133143461554
USDCAD,Price Action,20.41513007789168,61.111111111111114,0.7037217335256938,0.9020650750603716,18,12041.513007789168,1.9039492817983452,-0.34900655041489687,33.35618968473487
USDJPY,SMA Crossover,20.2049374799197,50.0,0.6345459275633437,3.032422331216185,4,12020.49374799197,11.479189050223253,-1.5369433080762114,28.820949801358083
USDJPY,Multi-Indicator,20.108396417781368,50.0,0.631947585332891,3.032422331216185,4,12010.839641778137,11.436824999807204,-1.5369433080762114,28.75634995419822
EURJPY,SMA Crossover,19.804167386408572,66.66666666666666,0.8646145627156266,1.6497935694965993,3,11980.416738640857,10.502024828218406,-1.6696285901396497,36.23785386782037
EURCAD,RSI Mean Reversion,19.26554419828475,75.0,0.8044901924762988,3.6301944694607555,8,11926.554419828475,3.609131414056731,-1.8477877796436355,37.52508071018474
EURJPY,Multi-Indicator,19.038954560617803,100.0,1.2688419312371924,0.0,2,11903.89545606178,9.331681316169782,0.0,50.30400113661905
GBPUSD,RSI Mean Reversion,18.609312583846275,100.0,1.8216673137038535,0.0,6,11860.931258384628,2.8770686470231475,0.0,55.66039817057705
